code;degree;duration;str_title;prf_title;fac;dep;exams
010400;62;4;Прикладная математика и информатика                       ;Программное обеспечение вычислительных машин, систем и компьютерных сетей           ;ФСУ ;АСУ    ;Русский язык, Математика, Информатика и ИКТ
022000;62;4;Экология и природопользование                             ;Экология и природопользование                                                         ;РКФ ;РЭТЭМ  ;Русский язык, География, Математика
030900;62;4;Юриспруденция                                             ;Юриспруденция                                                                         ;ЮФ  ;ИП     ;Русский язык, Обществознание, История
040400;62;4;Социальная работа                                         ;Социальная работа                                                                     ;ГФ  ;ИСР    ;Русский язык, История, Обществознание
040700;62;4;Организация работы с молодежью                            ;Организация работы с молодежью                                                        ;ГФ  ;ФС     ;Русский язык, История, Обществознание
080100;62;4;Экономика                                                 ;Финансы и кредит                                                                      ;ЭФ  ;Экономики     ;Русский язык, Математика, Обществознание
080101;65;5;Экономическая безопасность                                ;Экономико-правовое обеспечение экономической безопасности                             ;ФВС ;КИБЭВС ;Русский язык, Математика, Обществознание
080200;62;4;Менеджмент                                                ;Информационный менеджмент                                                             ;РТФ ;ТУ     ;Русский язык, Математика, Обществознание
080200;62;4;Менеджмент                                                ;Управление проектом                                                                   ;ЭФ  ;Экономики     ;Русский язык, Математика, Обществознание
080500;62;4;Бизнес-информатика                                        ;Бизнес-информатика                                                                    ;ФСУ ;АОИ    ;Русский язык, Математика, Обществознание
081100;62;4;Государственное и муниципальное управление                ;Государственное и муниципальное управление                                            ;ФСУ ;АОИ    ;Русский язык, Математика, Обществознание
090302;65;5.5;Информационная безопасность телекоммуникационных систем   ;Безопасность телекоммуникационных систем информационного взаимодействия               ;РТФ ;РЗИ    ;Русский язык, Математика, Физика
090303;65;5;Информационная безопасность автоматизированных систем     ;Информационная безопасность автоматизированных банковских систем                      ;ФВС ;КИБЭВС ;Русский язык, Математика, Информатика и ИКТ
090305;65;5.5;Информационно-аналитические системы безопасности          ;Информационная безопасность финансовых и экономических структур                       ;ФВС ;КИБЭВС ;Русский язык, Математика, Информатика и ИКТ
